triplet_key,year,ew,measure,datatype,rqtype
Absolute Mobility Measures | Administrative/Registry Data | Empirical Estimates and Determinants,2024,3.0,Absolute Mobility Measures,Administrative/Registry Data,Empirical Estimates and Determinants
Absolute Mobility Measures | Administrative/Registry Data | Intergenerational Wealth Mobility and Inheritance,2014,3.0,Absolute Mobility Measures,Administrative/Registry Data,Intergenerational Wealth Mobility and Inheritance
Absolute Mobility Measures | Archival/Historical Data | Intergenerational Wealth Mobility and Inheritance,1976,3.0,Absolute Mobility Measures,Archival/Historical Data,Intergenerational Wealth Mobility and Inheritance
Absolute Mobility Measures | Big Data | Empirical Estimates and Determinants,2022,3.0,Absolute Mobility Measures,Big Data,Empirical Estimates and Determinants
Absolute Mobility Measures | Linked Administrative Data | Empirical Estimates and Determinants,2021,3.0,Absolute Mobility Measures,Linked Administrative Data,Empirical Estimates and Determinants
Absolute Mobility Measures | Linked Administrative Data | Empirical Estimates and Determinants,2022,6.0,Absolute Mobility Measures,Linked Administrative Data,Empirical Estimates and Determinants
Absolute Mobility Measures | Linked Administrative Data | Intergenerational Wealth Mobility and Inheritance,2017,3.0,Absolute Mobility Measures,Linked Administrative Data,Intergenerational Wealth Mobility and Inheritance
Absolute Mobility Measures | Linked Administrative Data | Measurement and Methodological Advances,2024,3.0,Absolute Mobility Measures,Linked Administrative Data,Measurement and Methodological Advances
Absolute Mobility Measures | National Survey Data | Empirical Estimates and Determinants,2016,3.0,Absolute Mobility Measures,National Survey Data,Empirical Estimates and Determinants
Absolute Mobility Measures | National Survey Data | Perceptions of Mobility and Attitudes,2020,3.0,Absolute Mobility Measures,National Survey Data,Perceptions of Mobility and Attitudes
Absolute Mobility Measures | Natural/Experimental Data | Intergenerational Wealth Mobility and Inheritance,2021,3.0,Absolute Mobility Measures,Natural/Experimental Data,Intergenerational Wealth Mobility and Inheritance
Absolute Mobility Measures | No dataset | Empirical Estimates and Determinants,2018,3.0,Absolute Mobility Measures,No dataset,Empirical Estimates and Determinants
Absolute Mobility Measures | No dataset | Intergenerational Wealth Mobility and Inheritance,2010,3.0,Absolute Mobility Measures,No dataset,Intergenerational Wealth Mobility and Inheritance
Absolute Mobility Measures | No dataset | Measurement and Methodological Advances,2013,3.0,Absolute Mobility Measures,No dataset,Measurement and Methodological Advances
Absolute Mobility Measures | No dataset | Measurement and Methodological Advances,2014,5.611651689888372,Absolute Mobility Measures,No dataset,Measurement and Methodological Advances
"Absolute Mobility Measures | Opportunity Atlas | Policy, Institutional, and Geographic Impacts",2020,3.0,Absolute Mobility Measures,Opportunity Atlas,"Policy, Institutional, and Geographic Impacts"
Absolute Mobility Measures | Others_DataType | Empirical Estimates and Determinants,2020,3.0,Absolute Mobility Measures,Others_DataType,Empirical Estimates and Determinants
Absolute Mobility Measures | Others_DataType | Intergenerational Wealth Mobility and Inheritance,1986,3.0,Absolute Mobility Measures,Others_DataType,Intergenerational Wealth Mobility and Inheritance
Absolute Mobility Measures | Panel/Longitudinal Surveys | Empirical Estimates and Determinants,2002,3.0,Absolute Mobility Measures,Panel/Longitudinal Surveys,Empirical Estimates and Determinants
Absolute Mobility Measures | Panel/Longitudinal Surveys | Empirical Estimates and Determinants,2012,3.75,Absolute Mobility Measures,Panel/Longitudinal Surveys,Empirical Estimates and Determinants
Absolute Mobility Measures | Panel/Longitudinal Surveys | Empirical Estimates and Determinants,2018,4.632282306180233,Absolute Mobility Measures,Panel/Longitudinal Surveys,Empirical Estimates and Determinants
Absolute Mobility Measures | Panel/Longitudinal Surveys | Intergenerational Wealth Mobility and Inheritance,2008,3.0,Absolute Mobility Measures,Panel/Longitudinal Surveys,Intergenerational Wealth Mobility and Inheritance
Absolute Mobility Measures | Panel/Longitudinal Surveys | Intergenerational Wealth Mobility and Inheritance,2012,4.723047532495553,Absolute Mobility Measures,Panel/Longitudinal Surveys,Intergenerational Wealth Mobility and Inheritance
Absolute Mobility Measures | Panel/Longitudinal Surveys | Intergenerational Wealth Mobility and Inheritance,2018,5.055825844944186,Absolute Mobility Measures,Panel/Longitudinal Surveys,Intergenerational Wealth Mobility and Inheritance
"Absolute Mobility Measures | Panel/Longitudinal Surveys | Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",2019,3.0,Absolute Mobility Measures,Panel/Longitudinal Surveys,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)"
"Absolute Mobility Measures | Panel/Longitudinal Surveys | Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",2020,5.611651689888372,Absolute Mobility Measures,Panel/Longitudinal Surveys,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)"
"Absolute Mobility Measures | Panel/Longitudinal Surveys | Policy, Institutional, and Geographic Impacts",2016,3.0,Absolute Mobility Measures,Panel/Longitudinal Surveys,"Policy, Institutional, and Geographic Impacts"
Decomposition / Structural Approaches | Administrative/Registry Data | Empirical Estimates and Determinants,2015,3.0,Decomposition / Structural Approaches,Administrative/Registry Data,Empirical Estimates and Determinants
Decomposition / Structural Approaches | Administrative/Registry Data | Empirical Estimates and Determinants,2018,6.0,Decomposition / Structural Approaches,Administrative/Registry Data,Empirical Estimates and Determinants
Decomposition / Structural Approaches | Administrative/Registry Data | Empirical Estimates and Determinants,2019,6.958523732318683,Decomposition / Structural Approaches,Administrative/Registry Data,Empirical Estimates and Determinants
Decomposition / Structural Approaches | Administrative/Registry Data | Empirical Estimates and Determinants,2024,9.057746754879478,Decomposition / Structural Approaches,Administrative/Registry Data,Empirical Estimates and Determinants
Decomposition / Structural Approaches | Administrative/Registry Data | Intergenerational Wealth Mobility and Inheritance,1981,3.0,Decomposition / Structural Approaches,Administrative/Registry Data,Intergenerational Wealth Mobility and Inheritance
Decomposition / Structural Approaches | Administrative/Registry Data | Intergenerational Wealth Mobility and Inheritance,2018,3.017762303513794,Decomposition / Structural Approaches,Administrative/Registry Data,Intergenerational Wealth Mobility and Inheritance
Decomposition / Structural Approaches | Linked Administrative Data | Empirical Estimates and Determinants,2019,3.0,Decomposition / Structural Approaches,Linked Administrative Data,Empirical Estimates and Determinants
Decomposition / Structural Approaches | Linked Administrative Data | Empirical Estimates and Determinants,2023,6.0,Decomposition / Structural Approaches,Linked Administrative Data,Empirical Estimates and Determinants
Decomposition / Structural Approaches | Linked Administrative Data | Intergenerational Wealth Mobility and Inheritance,2020,3.0,Decomposition / Structural Approaches,Linked Administrative Data,Intergenerational Wealth Mobility and Inheritance
"Decomposition / Structural Approaches | Linked Administrative Data | Policy, Institutional, and Geographic Impacts",2020,3.0,Decomposition / Structural Approaches,Linked Administrative Data,"Policy, Institutional, and Geographic Impacts"
Decomposition / Structural Approaches | National Survey Data | Empirical Estimates and Determinants,2013,3.0,Decomposition / Structural Approaches,National Survey Data,Empirical Estimates and Determinants
Decomposition / Structural Approaches | National Survey Data | Empirical Estimates and Determinants,2015,5.2735748497655965,Decomposition / Structural Approaches,National Survey Data,Empirical Estimates and Determinants
Decomposition / Structural Approaches | National Survey Data | Intergenerational Wealth Mobility and Inheritance,2017,3.0,Decomposition / Structural Approaches,National Survey Data,Intergenerational Wealth Mobility and Inheritance
Decomposition / Structural Approaches | National Survey Data | Perceptions of Mobility and Attitudes,2012,3.0,Decomposition / Structural Approaches,National Survey Data,Perceptions of Mobility and Attitudes
"Decomposition / Structural Approaches | National Survey Data | Policy, Institutional, and Geographic Impacts",2021,3.0,Decomposition / Structural Approaches,National Survey Data,"Policy, Institutional, and Geographic Impacts"
"Decomposition / Structural Approaches | Natural/Experimental Data | Policy, Institutional, and Geographic Impacts",2017,3.0,Decomposition / Structural Approaches,Natural/Experimental Data,"Policy, Institutional, and Geographic Impacts"
Decomposition / Structural Approaches | No dataset | Empirical Estimates and Determinants,2015,3.0,Decomposition / Structural Approaches,No dataset,Empirical Estimates and Determinants
Decomposition / Structural Approaches | No dataset | Intergenerational Wealth Mobility and Inheritance,1996,3.0,Decomposition / Structural Approaches,No dataset,Intergenerational Wealth Mobility and Inheritance
Decomposition / Structural Approaches | No dataset | Intergenerational Wealth Mobility and Inheritance,2003,4.136787424882799,Decomposition / Structural Approaches,No dataset,Intergenerational Wealth Mobility and Inheritance
Decomposition / Structural Approaches | No dataset | Intergenerational Wealth Mobility and Inheritance,2009,4.800641311484022,Decomposition / Structural Approaches,No dataset,Intergenerational Wealth Mobility and Inheritance
Decomposition / Structural Approaches | No dataset | Intergenerational Wealth Mobility and Inheritance,2014,5.400320655742011,Decomposition / Structural Approaches,No dataset,Intergenerational Wealth Mobility and Inheritance
Decomposition / Structural Approaches | No dataset | Intergenerational Wealth Mobility and Inheritance,2015,7.701252188835902,Decomposition / Structural Approaches,No dataset,Intergenerational Wealth Mobility and Inheritance
Decomposition / Structural Approaches | No dataset | Intergenerational Wealth Mobility and Inheritance,2016,9.704329431076603,Decomposition / Structural Approaches,No dataset,Intergenerational Wealth Mobility and Inheritance
Decomposition / Structural Approaches | No dataset | Intergenerational Wealth Mobility and Inheritance,2018,12.704329431076603,Decomposition / Structural Approaches,No dataset,Intergenerational Wealth Mobility and Inheritance
Decomposition / Structural Approaches | No dataset | Intergenerational Wealth Mobility and Inheritance,2022,12.628081292544213,Decomposition / Structural Approaches,No dataset,Intergenerational Wealth Mobility and Inheritance
Decomposition / Structural Approaches | No dataset | Intergenerational Wealth Mobility and Inheritance,2024,10.252928103757185,Decomposition / Structural Approaches,No dataset,Intergenerational Wealth Mobility and Inheritance
"Decomposition / Structural Approaches | No dataset | Policy, Institutional, and Geographic Impacts",2000,3.0,Decomposition / Structural Approaches,No dataset,"Policy, Institutional, and Geographic Impacts"
"Decomposition / Structural Approaches | No dataset | Policy, Institutional, and Geographic Impacts",2014,3.430761883123888,Decomposition / Structural Approaches,No dataset,"Policy, Institutional, and Geographic Impacts"
"Decomposition / Structural Approaches | No dataset | Policy, Institutional, and Geographic Impacts",2019,4.7153809415619445,Decomposition / Structural Approaches,No dataset,"Policy, Institutional, and Geographic Impacts"
Decomposition / Structural Approaches | No dataset | Theoretical and Structural Models,1979,3.0,Decomposition / Structural Approaches,No dataset,Theoretical and Structural Models
Decomposition / Structural Approaches | No dataset | Theoretical and Structural Models,1995,6.0,Decomposition / Structural Approaches,No dataset,Theoretical and Structural Models
Decomposition / Structural Approaches | No dataset | Theoretical and Structural Models,2000,3.652912922472093,Decomposition / Structural Approaches,No dataset,Theoretical and Structural Models
Decomposition / Structural Approaches | No dataset | Theoretical and Structural Models,2005,4.826456461236047,Decomposition / Structural Approaches,No dataset,Theoretical and Structural Models
Decomposition / Structural Approaches | No dataset | Theoretical and Structural Models,2007,5.4132282306180235,Decomposition / Structural Approaches,No dataset,Theoretical and Structural Models
Decomposition / Structural Approaches | No dataset | Theoretical and Structural Models,2010,7.102459853724754,Decomposition / Structural Approaches,No dataset,Theoretical and Structural Models
Decomposition / Structural Approaches | No dataset | Theoretical and Structural Models,2013,7.685875981468353,Decomposition / Structural Approaches,No dataset,Theoretical and Structural Models
Decomposition / Structural Approaches | No dataset | Theoretical and Structural Models,2015,10.685875981468353,Decomposition / Structural Approaches,No dataset,Theoretical and Structural Models
Decomposition / Structural Approaches | No dataset | Theoretical and Structural Models,2018,10.050048945542779,Decomposition / Structural Approaches,No dataset,Theoretical and Structural Models
Decomposition / Structural Approaches | No dataset | Theoretical and Structural Models,2019,13.050048945542779,Decomposition / Structural Approaches,No dataset,Theoretical and Structural Models
Decomposition / Structural Approaches | No dataset | Theoretical and Structural Models,2020,16.050048945542777,Decomposition / Structural Approaches,No dataset,Theoretical and Structural Models
Decomposition / Structural Approaches | No dataset | Theoretical and Structural Models,2021,15.163662540030966,Decomposition / Structural Approaches,No dataset,Theoretical and Structural Models
Decomposition / Structural Approaches | No dataset | Theoretical and Structural Models,2022,13.00428633893073,Decomposition / Structural Approaches,No dataset,Theoretical and Structural Models
Decomposition / Structural Approaches | Others_DataType | Intergenerational Wealth Mobility and Inheritance,2020,3.0,Decomposition / Structural Approaches,Others_DataType,Intergenerational Wealth Mobility and Inheritance
"Decomposition / Structural Approaches | Others_DataType | Policy, Institutional, and Geographic Impacts",2012,3.0,Decomposition / Structural Approaches,Others_DataType,"Policy, Institutional, and Geographic Impacts"
Decomposition / Structural Approaches | Panel/Longitudinal Surveys | Empirical Estimates and Determinants,2013,3.0,Decomposition / Structural Approaches,Panel/Longitudinal Surveys,Empirical Estimates and Determinants
Decomposition / Structural Approaches | Panel/Longitudinal Surveys | Empirical Estimates and Determinants,2022,6.0,Decomposition / Structural Approaches,Panel/Longitudinal Surveys,Empirical Estimates and Determinants
Decomposition / Structural Approaches | Panel/Longitudinal Surveys | Intergenerational Wealth Mobility and Inheritance,2006,3.0,Decomposition / Structural Approaches,Panel/Longitudinal Surveys,Intergenerational Wealth Mobility and Inheritance
Decomposition / Structural Approaches | Panel/Longitudinal Surveys | Intergenerational Wealth Mobility and Inheritance,2016,3.75,Decomposition / Structural Approaches,Panel/Longitudinal Surveys,Intergenerational Wealth Mobility and Inheritance
Decomposition / Structural Approaches | Panel/Longitudinal Surveys | Intergenerational Wealth Mobility and Inheritance,2019,5.474077332699176,Decomposition / Structural Approaches,Panel/Longitudinal Surveys,Intergenerational Wealth Mobility and Inheritance
Decomposition / Structural Approaches | Panel/Longitudinal Surveys | Intergenerational Wealth Mobility and Inheritance,2020,7.765461105507812,Decomposition / Structural Approaches,Panel/Longitudinal Surveys,Intergenerational Wealth Mobility and Inheritance
Decomposition / Structural Approaches | Panel/Longitudinal Surveys | Measurement and Methodological Advances,2011,3.0,Decomposition / Structural Approaches,Panel/Longitudinal Surveys,Measurement and Methodological Advances
Multigenerational Measures | Archival/Historical Data | Intergenerational Wealth Mobility and Inheritance,2008,3.0,Multigenerational Measures,Archival/Historical Data,Intergenerational Wealth Mobility and Inheritance
Multigenerational Measures | Archival/Historical Data | Intergenerational Wealth Mobility and Inheritance,2011,4.979261866159341,Multigenerational Measures,Archival/Historical Data,Intergenerational Wealth Mobility and Inheritance
Multigenerational Measures | Archival/Historical Data | Intergenerational Wealth Mobility and Inheritance,2016,5.48963093307967,Multigenerational Measures,Archival/Historical Data,Intergenerational Wealth Mobility and Inheritance
"Multigenerational Measures | Archival/Historical Data | Policy, Institutional, and Geographic Impacts",2017,3.0,Multigenerational Measures,Archival/Historical Data,"Policy, Institutional, and Geographic Impacts"
Multigenerational Measures | National Survey Data | Intergenerational Wealth Mobility and Inheritance,2001,3.0,Multigenerational Measures,National Survey Data,Intergenerational Wealth Mobility and Inheritance
"Multigenerational Measures | Others_DataType | Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",2022,3.0,Multigenerational Measures,Others_DataType,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)"
Multigenerational Measures | Panel/Longitudinal Surveys | Intergenerational Wealth Mobility and Inheritance,2014,3.0,Multigenerational Measures,Panel/Longitudinal Surveys,Intergenerational Wealth Mobility and Inheritance
Non-parametric Approaches | Administrative/Registry Data | Intergenerational Wealth Mobility and Inheritance,2014,3.0,,,
Non-parametric Approaches | Linked Administrative Data | Empirical Estimates and Determinants,2015,3.0,,,
Non-parametric Approaches | No dataset | Intergenerational Wealth Mobility and Inheritance,2017,3.0,,,
Non-parametric Approaches | No dataset | Measurement and Methodological Advances,2019,3.0,,,
Non-parametric Approaches | Others_DataType | Intergenerational Wealth Mobility and Inheritance,2020,3.0,,,
Non-parametric Approaches | Others_DataType | Measurement and Methodological Advances,2010,3.0,,,
Non-parametric Approaches | Panel/Longitudinal Surveys | Intergenerational Wealth Mobility and Inheritance,2002,3.0,,,
Non-parametric Approaches | Panel/Longitudinal Surveys | Intergenerational Wealth Mobility and Inheritance,2014,3.5683937124413996,,,
Others_Measure | Administrative/Registry Data | Empirical Estimates and Determinants,2014,3.0,Others_Measure,Administrative/Registry Data,Empirical Estimates and Determinants
Others_Measure | Administrative/Registry Data | Empirical Estimates and Determinants,2019,4.5,Others_Measure,Administrative/Registry Data,Empirical Estimates and Determinants
Others_Measure | Administrative/Registry Data | Intergenerational Wealth Mobility and Inheritance,2009,3.0,Others_Measure,Administrative/Registry Data,Intergenerational Wealth Mobility and Inheritance
Others_Measure | Administrative/Registry Data | Measurement and Methodological Advances,2007,3.0,Others_Measure,Administrative/Registry Data,Measurement and Methodological Advances
"Others_Measure | Administrative/Registry Data | Policy, Institutional, and Geographic Impacts",2020,3.0,Others_Measure,Administrative/Registry Data,"Policy, Institutional, and Geographic Impacts"
Others_Measure | Linked Administrative Data | Empirical Estimates and Determinants,2015,3.0,Others_Measure,Linked Administrative Data,Empirical Estimates and Determinants
"Others_Measure | Linked Administrative Data | Policy, Institutional, and Geographic Impacts",2024,3.0,Others_Measure,Linked Administrative Data,"Policy, Institutional, and Geographic Impacts"
Others_Measure | National Survey Data | Empirical Estimates and Determinants,2013,3.0,Others_Measure,National Survey Data,Empirical Estimates and Determinants
Others_Measure | National Survey Data | Perceptions of Mobility and Attitudes,2018,3.0,Others_Measure,National Survey Data,Perceptions of Mobility and Attitudes
Others_Measure | Natural/Experimental Data | Perceptions of Mobility and Attitudes,2019,3.0,Others_Measure,Natural/Experimental Data,Perceptions of Mobility and Attitudes
Others_Measure | No dataset | Empirical Estimates and Determinants,2020,3.0,Others_Measure,No dataset,Empirical Estimates and Determinants
Others_Measure | No dataset | Intergenerational Wealth Mobility and Inheritance,2004,3.0,Others_Measure,No dataset,Intergenerational Wealth Mobility and Inheritance
Others_Measure | No dataset | Intergenerational Wealth Mobility and Inheritance,2007,4.979261866159341,Others_Measure,No dataset,Intergenerational Wealth Mobility and Inheritance
Others_Measure | No dataset | Intergenerational Wealth Mobility and Inheritance,2015,4.6425438555517635,Others_Measure,No dataset,Intergenerational Wealth Mobility and Inheritance
Others_Measure | No dataset | Measurement and Methodological Advances,1998,3.0,Others_Measure,No dataset,Measurement and Methodological Advances
Others_Measure | No dataset | Measurement and Methodological Advances,2002,4.723047532495553,Others_Measure,No dataset,Measurement and Methodological Advances
Others_Measure | No dataset | Measurement and Methodological Advances,2016,3.678169616393806,Others_Measure,No dataset,Measurement and Methodological Advances
Others_Measure | No dataset | Theoretical and Structural Models,1997,3.0,Others_Measure,No dataset,Theoretical and Structural Models
Others_Measure | No dataset | Theoretical and Structural Models,2012,3.375,Others_Measure,No dataset,Theoretical and Structural Models
Others_Measure | No dataset | Theoretical and Structural Models,2015,5.226669599429259,Others_Measure,No dataset,Theoretical and Structural Models
Others_Measure | No dataset | Theoretical and Structural Models,2019,6.001933385488702,Others_Measure,No dataset,Theoretical and Structural Models
Others_Measure | Others_DataType | Empirical Estimates and Determinants,2008,3.0,Others_Measure,Others_DataType,Empirical Estimates and Determinants
Others_Measure | Others_DataType | Empirical Estimates and Determinants,2016,3.989630933079671,Others_Measure,Others_DataType,Empirical Estimates and Determinants
Others_Measure | Others_DataType | Intergenerational Wealth Mobility and Inheritance,2013,3.0,Others_Measure,Others_DataType,Intergenerational Wealth Mobility and Inheritance
Others_Measure | Panel/Longitudinal Surveys | Empirical Estimates and Determinants,2024,3.0,Others_Measure,Panel/Longitudinal Surveys,Empirical Estimates and Determinants
Others_Measure | Panel/Longitudinal Surveys | Intergenerational Wealth Mobility and Inheritance,2021,3.0,Others_Measure,Panel/Longitudinal Surveys,Intergenerational Wealth Mobility and Inheritance
Others_Measure | Panel/Longitudinal Surveys | Measurement and Methodological Advances,2024,3.0,Others_Measure,Panel/Longitudinal Surveys,Measurement and Methodological Advances
"Others_Measure | Panel/Longitudinal Surveys | Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",2020,3.0,Others_Measure,Panel/Longitudinal Surveys,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)"
Others_Measure | Pseudo-Panel/Household Budget Survey | Empirical Estimates and Determinants,2015,3.0,Others_Measure,Pseudo-Panel/Household Budget Survey,Empirical Estimates and Determinants
Others_Measure | University/Institution Data | Empirical Estimates and Determinants,2019,3.0,Others_Measure,University/Institution Data,Empirical Estimates and Determinants
"Rank-based Measures | Administrative/Registry Data | Demographic Differences in Mobility (Race, Gender, etc.)",2011,3.0,,,
"Rank-based Measures | Administrative/Registry Data | Demographic Differences in Mobility (Race, Gender, etc.)",2020,6.0,,,
Rank-based Measures | Administrative/Registry Data | Empirical Estimates and Determinants,2018,3.0,,,
Rank-based Measures | Administrative/Registry Data | Empirical Estimates and Determinants,2021,4.979261866159341,,,
Rank-based Measures | Administrative/Registry Data | Empirical Estimates and Determinants,2022,7.334699222383924,,,
Rank-based Measures | Administrative/Registry Data | Empirical Estimates and Determinants,2023,10.334699222383925,,,
Rank-based Measures | Administrative/Registry Data | Intergenerational Wealth Mobility and Inheritance,2016,3.0,,,
Rank-based Measures | Administrative/Registry Data | Intergenerational Wealth Mobility and Inheritance,2021,4.5,,,
Rank-based Measures | Administrative/Registry Data | Intergenerational Wealth Mobility and Inheritance,2023,7.5,,,
Rank-based Measures | Administrative/Registry Data | Intergenerational Wealth Mobility and Inheritance,2024,8.683937124413992,,,
Rank-based Measures | Administrative/Registry Data | Measurement and Methodological Advances,2018,3.0,,,
Rank-based Measures | Administrative/Registry Data | Measurement and Methodological Advances,2021,4.979261866159341,,,
"Rank-based Measures | Administrative/Registry Data | Policy, Institutional, and Geographic Impacts",2025,3.0,,,
Rank-based Measures | International Panel Data | Measurement and Methodological Advances,2020,3.0,,,
"Rank-based Measures | Linked Administrative Data | Demographic Differences in Mobility (Race, Gender, etc.)",2024,3.0,,,
Rank-based Measures | Linked Administrative Data | Empirical Estimates and Determinants,2008,3.0,,,
Rank-based Measures | Linked Administrative Data | Empirical Estimates and Determinants,2014,4.305825844944186,,,
Rank-based Measures | Linked Administrative Data | Empirical Estimates and Determinants,2019,7.305825844944186,,,
Rank-based Measures | Linked Administrative Data | Empirical Estimates and Determinants,2020,6.652912922472093,,,
Rank-based Measures | Linked Administrative Data | Empirical Estimates and Determinants,2023,9.652912922472094,,,
Rank-based Measures | Linked Administrative Data | Intergenerational Wealth Mobility and Inheritance,2018,3.0,,,
Rank-based Measures | Linked Administrative Data | Intergenerational Wealth Mobility and Inheritance,2021,4.979261866159341,,,
Rank-based Measures | Linked Administrative Data | Intergenerational Wealth Mobility and Inheritance,2022,7.334699222383924,,,
Rank-based Measures | Linked Administrative Data | Intergenerational Wealth Mobility and Inheritance,2023,9.385226539653969,,,
Rank-based Measures | National Survey Data | Empirical Estimates and Determinants,2025,3.0,,,
Rank-based Measures | National Survey Data | Measurement and Methodological Advances,2023,3.0,,,
Rank-based Measures | National Survey Data | Perceptions of Mobility and Attitudes,2019,3.0,,,
Rank-based Measures | No dataset | Intergenerational Wealth Mobility and Inheritance,2021,3.0,,,
Rank-based Measures | No dataset | Measurement and Methodological Advances,2025,3.0,,,
"Rank-based Measures | Opportunity Atlas | Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",2023,3.0,,,
Rank-based Measures | Others_DataType | Measurement and Methodological Advances,2024,3.0,,,
"Rank-based Measures | Panel/Longitudinal Surveys | Demographic Differences in Mobility (Race, Gender, etc.)",2011,3.0,,,
Rank-based Measures | Panel/Longitudinal Surveys | Empirical Estimates and Determinants,2010,3.0,,,
Rank-based Measures | Panel/Longitudinal Surveys | Intergenerational Wealth Mobility and Inheritance,2023,3.0,,,
Rank-based Measures | Panel/Longitudinal Surveys | Measurement and Methodological Advances,2020,3.0,,,
Rank-based Measures | University/Institution Data | Intergenerational Wealth Mobility and Inheritance,2022,3.0,,,
"Regression-based Measures | Administrative/Registry Data | Demographic Differences in Mobility (Race, Gender, etc.)",2018,3.0,,,
Regression-based Measures | Administrative/Registry Data | Empirical Estimates and Determinants,2005,3.0,,,
Regression-based Measures | Administrative/Registry Data | Empirical Estimates and Determinants,2006,5.611651689888372,,,
Regression-based Measures | Administrative/Registry Data | Empirical Estimates and Determinants,2008,7.252836715924938,,,
Regression-based Measures | Administrative/Registry Data | Empirical Estimates and Determinants,2017,5.082830401161269,,,
Regression-based Measures | Administrative/Registry Data | Empirical Estimates and Determinants,2018,7.424860868869607,,,
Regression-based Measures | Administrative/Registry Data | Empirical Estimates and Determinants,2019,9.463716811789787,,,
Regression-based Measures | Administrative/Registry Data | Empirical Estimates and Determinants,2020,11.2386440013786,,,
Regression-based Measures | Administrative/Registry Data | Empirical Estimates and Determinants,2021,12.783807866084747,,,
Regression-based Measures | Administrative/Registry Data | Empirical Estimates and Determinants,2023,12.688314682855294,,,
Regression-based Measures | Administrative/Registry Data | Empirical Estimates and Determinants,2024,15.688314682855294,,,
Regression-based Measures | Administrative/Registry Data | Intergenerational Wealth Mobility and Inheritance,1979,3.0,,,
Regression-based Measures | Administrative/Registry Data | Intergenerational Wealth Mobility and Inheritance,2000,3.1632282306180235,,,
Regression-based Measures | Administrative/Registry Data | Intergenerational Wealth Mobility and Inheritance,2007,4.198639358200278,,,
Regression-based Measures | Administrative/Registry Data | Intergenerational Wealth Mobility and Inheritance,2009,6.181973616013373,,,
Regression-based Measures | Administrative/Registry Data | Intergenerational Wealth Mobility and Inheritance,2011,7.685059911760829,,,
Regression-based Measures | Administrative/Registry Data | Intergenerational Wealth Mobility and Inheritance,2016,6.842529955880415,,,
Regression-based Measures | Administrative/Registry Data | Intergenerational Wealth Mobility and Inheritance,2019,7.5143862032423545,,,
Regression-based Measures | Administrative/Registry Data | Intergenerational Wealth Mobility and Inheritance,2020,10.514386203242355,,,
Regression-based Measures | Administrative/Registry Data | Intergenerational Wealth Mobility and Inheritance,2021,13.514386203242355,,,
Regression-based Measures | Administrative/Registry Data | Intergenerational Wealth Mobility and Inheritance,2022,14.764956521834,,,
Regression-based Measures | Administrative/Registry Data | Intergenerational Wealth Mobility and Inheritance,2023,15.85364121712537,,,
Regression-based Measures | Administrative/Registry Data | Measurement and Methodological Advances,2011,3.0,,,
