triplet_key,year,ew,measure,datatype,rqtype
Regression-based Measures | Administrative/Registry Data | Measurement and Methodological Advances,2015,4.723047532495553,,,
Regression-based Measures | Administrative/Registry Data | Measurement and Methodological Advances,2016,7.111651689888372,,,
"Regression-based Measures | Administrative/Registry Data | Policy, Institutional, and Geographic Impacts",2015,3.0,,,
"Regression-based Measures | Administrative/Registry Data | Policy, Institutional, and Geographic Impacts",2016,5.611651689888372,,,
"Regression-based Measures | Administrative/Registry Data | Policy, Institutional, and Geographic Impacts",2018,8.611651689888372,,,
"Regression-based Measures | Administrative/Registry Data | Policy, Institutional, and Geographic Impacts",2019,9.526411565690534,,,
"Regression-based Measures | Administrative/Registry Data | Policy, Institutional, and Geographic Impacts",2022,11.293222954702607,,,
Regression-based Measures | Archival/Historical Data | Empirical Estimates and Determinants,2011,3.0,,,
Regression-based Measures | Archival/Historical Data | Empirical Estimates and Determinants,2015,4.723047532495553,,,
Regression-based Measures | Archival/Historical Data | Intergenerational Wealth Mobility and Inheritance,2006,3.0,,,
Regression-based Measures | Archival/Historical Data | Intergenerational Wealth Mobility and Inheritance,2014,3.989630933079671,,,
Regression-based Measures | Archival/Historical Data | Intergenerational Wealth Mobility and Inheritance,2016,6.98963093307967,,,
Regression-based Measures | Archival/Historical Data | Intergenerational Wealth Mobility and Inheritance,2017,8.297149699531193,,,
Regression-based Measures | Archival/Historical Data | Intergenerational Wealth Mobility and Inheritance,2018,10.223088344679148,,,
Regression-based Measures | Archival/Historical Data | Intergenerational Wealth Mobility and Inheritance,2019,11.899715317086473,,,
Regression-based Measures | Archival/Historical Data | Intergenerational Wealth Mobility and Inheritance,2020,14.899715317086473,,,
Regression-based Measures | Archival/Historical Data | Intergenerational Wealth Mobility and Inheritance,2024,15.970955562241517,,,
Regression-based Measures | Big Data | Empirical Estimates and Determinants,2025,3.0,,,
Regression-based Measures | International Panel Data | Empirical Estimates and Determinants,2009,3.0,,,
Regression-based Measures | International Panel Data | Empirical Estimates and Determinants,2013,4.723047532495553,,,
Regression-based Measures | International Panel Data | Empirical Estimates and Determinants,2016,7.723047532495553,,,
Regression-based Measures | International Panel Data | Empirical Estimates and Determinants,2018,8.09531115720148,,,
Regression-based Measures | International Panel Data | Empirical Estimates and Determinants,2019,9.135098616013373,,,
Regression-based Measures | International Panel Data | Empirical Estimates and Determinants,2024,10.952565245936086,,,
Regression-based Measures | International Panel Data | Intergenerational Wealth Mobility and Inheritance,2009,3.0,,,
Regression-based Measures | International Panel Data | Intergenerational Wealth Mobility and Inheritance,2011,5.2735748497655965,,,
Regression-based Measures | International Panel Data | Intergenerational Wealth Mobility and Inheritance,2013,6.996622382261149,,,
"Regression-based Measures | International Panel Data | Policy, Institutional, and Geographic Impacts",2014,3.0,,,
Regression-based Measures | International Panel Data | Theoretical and Structural Models,2015,3.0,,,
Regression-based Measures | Linked Administrative Data | Empirical Estimates and Determinants,2002,3.0,,,
Regression-based Measures | Linked Administrative Data | Empirical Estimates and Determinants,2003,5.611651689888372,,,
Regression-based Measures | Linked Administrative Data | Empirical Estimates and Determinants,2006,6.702309398654894,,,
Regression-based Measures | Linked Administrative Data | Empirical Estimates and Determinants,2021,3.837788674831862,,,
Regression-based Measures | Linked Administrative Data | Empirical Estimates and Determinants,2022,6.340989092686364,,,
Regression-based Measures | Linked Administrative Data | Empirical Estimates and Determinants,2023,8.520151626492694,,,
Regression-based Measures | Linked Administrative Data | Empirical Estimates and Determinants,2024,11.520151626492694,,,
Regression-based Measures | Linked Administrative Data | Intergenerational Wealth Mobility and Inheritance,1998,3.0,,,
Regression-based Measures | Linked Administrative Data | Intergenerational Wealth Mobility and Inheritance,1999,5.611651689888372,,,
Regression-based Measures | Linked Administrative Data | Intergenerational Wealth Mobility and Inheritance,2006,5.12641835796247,,,
Regression-based Measures | Linked Administrative Data | Intergenerational Wealth Mobility and Inheritance,2007,8.12641835796247,,,
Regression-based Measures | Linked Administrative Data | Intergenerational Wealth Mobility and Inheritance,2008,10.074458079104192,,,
Regression-based Measures | Linked Administrative Data | Intergenerational Wealth Mobility and Inheritance,2010,13.074458079104192,,,
Regression-based Measures | Linked Administrative Data | Intergenerational Wealth Mobility and Inheritance,2011,14.381976845555714,,,
Regression-based Measures | Linked Administrative Data | Intergenerational Wealth Mobility and Inheritance,2012,13.899500281988876,,,
Regression-based Measures | Linked Administrative Data | Intergenerational Wealth Mobility and Inheritance,2014,15.100217800020053,,,
Regression-based Measures | Linked Administrative Data | Intergenerational Wealth Mobility and Inheritance,2015,18.100217800020054,,,
Regression-based Measures | Linked Administrative Data | Intergenerational Wealth Mobility and Inheritance,2016,21.100217800020054,,,
Regression-based Measures | Linked Administrative Data | Intergenerational Wealth Mobility and Inheritance,2017,21.368806491478363,,,
Regression-based Measures | Linked Administrative Data | Intergenerational Wealth Mobility and Inheritance,2018,19.194527002844346,,,
Regression-based Measures | Linked Administrative Data | Intergenerational Wealth Mobility and Inheritance,2019,19.70980629452881,,,
Regression-based Measures | Linked Administrative Data | Intergenerational Wealth Mobility and Inheritance,2021,22.70980629452881,,,
Regression-based Measures | Linked Administrative Data | Intergenerational Wealth Mobility and Inheritance,2022,22.770034662047923,,,
Regression-based Measures | Linked Administrative Data | Intergenerational Wealth Mobility and Inheritance,2023,25.770034662047923,,,
Regression-based Measures | Linked Administrative Data | Intergenerational Wealth Mobility and Inheritance,2024,28.770034662047923,,,
Regression-based Measures | Linked Administrative Data | Measurement and Methodological Advances,2009,3.0,,,
"Regression-based Measures | Linked Administrative Data | Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",2021,3.0,,,
Regression-based Measures | Linked Administrative Data | Others_RqType,2012,3.0,,,
"Regression-based Measures | Linked Administrative Data | Policy, Institutional, and Geographic Impacts",2013,3.0,,,
"Regression-based Measures | Linked Administrative Data | Policy, Institutional, and Geographic Impacts",2018,4.5,,,
"Regression-based Measures | Linked Administrative Data | Policy, Institutional, and Geographic Impacts",2019,6.917477534832559,,,
"Regression-based Measures | Linked Administrative Data | Policy, Institutional, and Geographic Impacts",2024,9.917477534832559,,,
"Regression-based Measures | Linked Administrative Data | Policy, Institutional, and Geographic Impacts",2025,7.958738767416279,,,
Regression-based Measures | Linked Administrative Data | Theoretical and Structural Models,2018,3.0,,,
"Regression-based Measures | National Survey Data | Demographic Differences in Mobility (Race, Gender, etc.)",2021,3.0,,,
Regression-based Measures | National Survey Data | Empirical Estimates and Determinants,2005,3.0,,,
Regression-based Measures | National Survey Data | Empirical Estimates and Determinants,2006,5.611651689888372,,,
Regression-based Measures | National Survey Data | Empirical Estimates and Determinants,2007,7.88522653965397,,,
Regression-based Measures | National Survey Data | Empirical Estimates and Determinants,2008,9.864488405813312,,,
Regression-based Measures | National Survey Data | Empirical Estimates and Determinants,2009,11.587535938308864,,,
Regression-based Measures | National Survey Data | Empirical Estimates and Determinants,2011,11.781710093364678,,,
Regression-based Measures | National Survey Data | Empirical Estimates and Determinants,2012,13.256574358370251,,,
Regression-based Measures | National Survey Data | Empirical Estimates and Determinants,2014,16.25657435837025,,,
Regression-based Measures | National Survey Data | Empirical Estimates and Determinants,2015,15.320179534844966,,,
Regression-based Measures | National Survey Data | Empirical Estimates and Determinants,2016,16.336990923857037,,,
Regression-based Measures | National Survey Data | Empirical Estimates and Determinants,2017,19.336990923857037,,,
Regression-based Measures | National Survey Data | Empirical Estimates and Determinants,2018,19.833828341215785,,,
Regression-based Measures | National Survey Data | Empirical Estimates and Determinants,2019,22.833828341215785,,,
Regression-based Measures | National Survey Data | Empirical Estimates and Determinants,2021,22.878002124652404,,,
Regression-based Measures | National Survey Data | Empirical Estimates and Determinants,2022,22.916457636706074,,,
Regression-based Measures | National Survey Data | Empirical Estimates and Determinants,2023,22.94993510438624,,,
Regression-based Measures | National Survey Data | Empirical Estimates and Determinants,2024,25.94993510438624,,,
Regression-based Measures | National Survey Data | Intergenerational Wealth Mobility and Inheritance,2007,3.0,,,
Regression-based Measures | National Survey Data | Intergenerational Wealth Mobility and Inheritance,2010,6.0,,,
Regression-based Measures | National Survey Data | Intergenerational Wealth Mobility and Inheritance,2011,6.958523732318683,,,
Regression-based Measures | National Survey Data | Intergenerational Wealth Mobility and Inheritance,2012,9.057746754879478,,,
Regression-based Measures | National Survey Data | Intergenerational Wealth Mobility and Inheritance,2013,10.88522653965397,,,
Regression-based Measures | National Survey Data | Intergenerational Wealth Mobility and Inheritance,2014,13.88522653965397,,,
Regression-based Measures | National Survey Data | Intergenerational Wealth Mobility and Inheritance,2015,15.087791785590056,,,
Regression-based Measures | National Survey Data | Intergenerational Wealth Mobility and Inheritance,2018,16.134685637840057,,,
Regression-based Measures | National Survey Data | Intergenerational Wealth Mobility and Inheritance,2019,19.134685637840057,,,
Regression-based Measures | National Survey Data | Intergenerational Wealth Mobility and Inheritance,2020,22.134685637840057,,,
Regression-based Measures | National Survey Data | Intergenerational Wealth Mobility and Inheritance,2021,22.26936305040429,,,
Regression-based Measures | National Survey Data | Intergenerational Wealth Mobility and Inheritance,2024,17.692300356441024,,,
"Regression-based Measures | National Survey Data | Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",2019,3.0,,,
Regression-based Measures | National Survey Data | Perceptions of Mobility and Attitudes,2024,3.0,,,
"Regression-based Measures | National Survey Data | Policy, Institutional, and Geographic Impacts",2013,3.0,,,
Regression-based Measures | Natural/Experimental Data | Empirical Estimates and Determinants,2014,3.0,,,
Regression-based Measures | Natural/Experimental Data | Intergenerational Wealth Mobility and Inheritance,2022,3.0,,,
"Regression-based Measures | Natural/Experimental Data | Policy, Institutional, and Geographic Impacts",2018,3.0,,,
Regression-based Measures | No dataset | Empirical Estimates and Determinants,1980,3.0,,,
Regression-based Measures | No dataset | Empirical Estimates and Determinants,1998,3.2474077332699176,,,
Regression-based Measures | No dataset | Empirical Estimates and Determinants,2002,4.865145960605902,,,
Regression-based Measures | No dataset | Empirical Estimates and Determinants,2006,5.794292580884235,,,
Regression-based Measures | No dataset | Empirical Estimates and Determinants,2008,7.391252628027263,,,
Regression-based Measures | No dataset | Empirical Estimates and Determinants,2009,9.434459138793091,,,
Regression-based Measures | No dataset | Empirical Estimates and Determinants,2011,10.149983006367055,,,
Regression-based Measures | No dataset | Empirical Estimates and Determinants,2013,13.149983006367055,,,
Regression-based Measures | No dataset | Empirical Estimates and Determinants,2014,12.965823546040378,,,
Regression-based Measures | No dataset | Empirical Estimates and Determinants,2015,14.2874049916036,,,
Regression-based Measures | No dataset | Empirical Estimates and Determinants,2018,17.2874049916036,,,
Regression-based Measures | No dataset | Empirical Estimates and Determinants,2019,18.049560153368745,,,
Regression-based Measures | No dataset | Empirical Estimates and Determinants,2020,14.908268704170636,,,
Regression-based Measures | No dataset | Empirical Estimates and Determinants,2021,15.978401718185726,,,
Regression-based Measures | No dataset | Empirical Estimates and Determinants,2022,16.910006616338343,,,
Regression-based Measures | No dataset | Empirical Estimates and Determinants,2025,17.72101578519453,,,
Regression-based Measures | No dataset | Intergenerational Wealth Mobility and Inheritance,1998,3.0,,,
Regression-based Measures | No dataset | Intergenerational Wealth Mobility and Inheritance,2005,4.136787424882799,,,
Regression-based Measures | No dataset | Intergenerational Wealth Mobility and Inheritance,2009,5.375960454967647,,,
Regression-based Measures | No dataset | Intergenerational Wealth Mobility and Inheritance,2011,7.07421616124962,,,
Regression-based Measures | No dataset | Intergenerational Wealth Mobility and Inheritance,2012,9.158462864054401,,,
Regression-based Measures | No dataset | Intergenerational Wealth Mobility and Inheritance,2013,10.972905005229194,,,
Regression-based Measures | No dataset | Intergenerational Wealth Mobility and Inheritance,2016,10.239417479279703,,,
Regression-based Measures | No dataset | Measurement and Methodological Advances,2010,3.0,,,
Regression-based Measures | No dataset | Measurement and Methodological Advances,2011,5.611651689888372,,,
Regression-based Measures | No dataset | Measurement and Methodological Advances,2015,6.223047532495553,,,
Regression-based Measures | No dataset | Measurement and Methodological Advances,2016,8.417477534832559,,,
Regression-based Measures | No dataset | Measurement and Methodological Advances,2020,11.417477534832559,,,
Regression-based Measures | No dataset | Measurement and Methodological Advances,2022,14.417477534832559,,,
Regression-based Measures | No dataset | Measurement and Methodological Advances,2023,11.280666363734435,,,
"Regression-based Measures | No dataset | Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",2017,3.0,,,
"Regression-based Measures | No dataset | Policy, Institutional, and Geographic Impacts",2018,3.0,,,
Regression-based Measures | No dataset | Theoretical and Structural Models,2012,3.0,,,
Regression-based Measures | No dataset | Theoretical and Structural Models,2013,5.611651689888372,,,
Regression-based Measures | No dataset | Theoretical and Structural Models,2018,5.805825844944186,,,
Regression-based Measures | No dataset | Theoretical and Structural Models,2022,6.334571298743329,,,
Regression-based Measures | Opportunity Atlas | Empirical Estimates and Determinants,2014,3.0,,,
Regression-based Measures | Opportunity Atlas | Intergenerational Wealth Mobility and Inheritance,2021,3.0,,,
"Regression-based Measures | Opportunity Atlas | Policy, Institutional, and Geographic Impacts",2021,3.0,,,
Regression-based Measures | Others_DataType | Empirical Estimates and Determinants,2013,3.0,,,
Regression-based Measures | Others_DataType | Empirical Estimates and Determinants,2021,3.989630933079671,,,
Regression-based Measures | Others_DataType | Intergenerational Wealth Mobility and Inheritance,2007,3.0,,,
Regression-based Measures | Others_DataType | Intergenerational Wealth Mobility and Inheritance,2016,3.8615237662477764,,,
Regression-based Measures | Others_DataType | Intergenerational Wealth Mobility and Inheritance,2019,5.54765557860074,,,
"Regression-based Measures | Panel/Longitudinal Surveys | Demographic Differences in Mobility (Race, Gender, etc.)",2020,3.0,,,
Regression-based Measures | Panel/Longitudinal Surveys | Empirical Estimates and Determinants,1990,3.0,,,
Regression-based Measures | Panel/Longitudinal Surveys | Empirical Estimates and Determinants,1992,5.2735748497655965,,,
Regression-based Measures | Panel/Longitudinal Surveys | Empirical Estimates and Determinants,2005,3.8698154665398357,,,
Regression-based Measures | Panel/Longitudinal Surveys | Empirical Estimates and Determinants,2007,6.869815466539835,,,
Regression-based Measures | Panel/Longitudinal Surveys | Empirical Estimates and Determinants,2008,8.206346555751892,,,
Regression-based Measures | Panel/Longitudinal Surveys | Empirical Estimates and Determinants,2009,10.144039616713018,,,
Regression-based Measures | Panel/Longitudinal Surveys | Empirical Estimates and Determinants,2010,11.830899402427717,,,
Regression-based Measures | Panel/Longitudinal Surveys | Empirical Estimates and Determinants,2011,14.830899402427717,,,
Regression-based Measures | Panel/Longitudinal Surveys | Empirical Estimates and Determinants,2012,15.911047828971599,,,
Regression-based Measures | Panel/Longitudinal Surveys | Empirical Estimates and Determinants,2013,16.8513716501428,,,
Regression-based Measures | Panel/Longitudinal Surveys | Empirical Estimates and Determinants,2014,17.669971082344148,,,
Regression-based Measures | Panel/Longitudinal Surveys | Empirical Estimates and Determinants,2015,20.669971082344148,,,
Regression-based Measures | Panel/Longitudinal Surveys | Empirical Estimates and Determinants,2016,20.994254969049294,,,
Regression-based Measures | Panel/Longitudinal Surveys | Empirical Estimates and Determinants,2017,23.994254969049294,,,
Regression-based Measures | Panel/Longitudinal Surveys | Empirical Estimates and Determinants,2018,23.888212179176687,,,
Regression-based Measures | Panel/Longitudinal Surveys | Empirical Estimates and Determinants,2019,26.888212179176687,,,
Regression-based Measures | Panel/Longitudinal Surveys | Empirical Estimates and Determinants,2020,29.888212179176687,,,
Regression-based Measures | Panel/Longitudinal Surveys | Empirical Estimates and Determinants,2021,29.019199948496343,,,
Regression-based Measures | Panel/Longitudinal Surveys | Empirical Estimates and Determinants,2022,32.01919994849634,,,
Regression-based Measures | Panel/Longitudinal Surveys | Empirical Estimates and Determinants,2023,35.01919994849634,,,
Regression-based Measures | Panel/Longitudinal Surveys | Empirical Estimates and Determinants,2024,33.48598424134309,,,
Regression-based Measures | Panel/Longitudinal Surveys | Intergenerational Wealth Mobility and Inheritance,2002,3.0,,,
Regression-based Measures | Panel/Longitudinal Surveys | Intergenerational Wealth Mobility and Inheritance,2004,5.2735748497655965,,,
Regression-based Measures | Panel/Longitudinal Surveys | Intergenerational Wealth Mobility and Inheritance,2007,6.479261866159341,,,
Regression-based Measures | Panel/Longitudinal Surveys | Intergenerational Wealth Mobility and Inheritance,2008,8.64052506732811,,,
Regression-based Measures | Panel/Longitudinal Surveys | Intergenerational Wealth Mobility and Inheritance,2009,11.64052506732811,,,
Regression-based Measures | Panel/Longitudinal Surveys | Intergenerational Wealth Mobility and Inheritance,2010,14.64052506732811,,,
Regression-based Measures | Panel/Longitudinal Surveys | Intergenerational Wealth Mobility and Inheritance,2011,15.745317344313511,,,
Regression-based Measures | Panel/Longitudinal Surveys | Intergenerational Wealth Mobility and Inheritance,2012,16.70709488336836,,,
Regression-based Measures | Panel/Longitudinal Surveys | Intergenerational Wealth Mobility and Inheritance,2013,19.70709488336836,,,
Regression-based Measures | Panel/Longitudinal Surveys | Intergenerational Wealth Mobility and Inheritance,2014,22.70709488336836,,,
Regression-based Measures | Panel/Longitudinal Surveys | Intergenerational Wealth Mobility and Inheritance,2015,22.767674241534863,,,
Regression-based Measures | Panel/Longitudinal Surveys | Intergenerational Wealth Mobility and Inheritance,2016,25.767674241534863,,,
Regression-based Measures | Panel/Longitudinal Surveys | Intergenerational Wealth Mobility and Inheritance,2017,28.767674241534863,,,
Regression-based Measures | Panel/Longitudinal Surveys | Intergenerational Wealth Mobility and Inheritance,2019,28.043715015687575,,,
Regression-based Measures | Panel/Longitudinal Surveys | Intergenerational Wealth Mobility and Inheritance,2020,31.043715015687575,,,
Regression-based Measures | Panel/Longitudinal Surveys | Intergenerational Wealth Mobility and Inheritance,2021,34.043715015687575,,,
Regression-based Measures | Panel/Longitudinal Surveys | Intergenerational Wealth Mobility and Inheritance,2022,37.043715015687575,,,
Regression-based Measures | Panel/Longitudinal Surveys | Intergenerational Wealth Mobility and Inheritance,2023,40.043715015687575,,,
Regression-based Measures | Panel/Longitudinal Surveys | Intergenerational Wealth Mobility and Inheritance,2024,37.860078663376285,,,
Regression-based Measures | Panel/Longitudinal Surveys | Measurement and Methodological Advances,2003,3.0,,,
Regression-based Measures | Panel/Longitudinal Surveys | Measurement and Methodological Advances,2012,3.8615237662477764,,,
Regression-based Measures | Panel/Longitudinal Surveys | Measurement and Methodological Advances,2015,5.54765557860074,,,
Regression-based Measures | Panel/Longitudinal Surveys | Measurement and Methodological Advances,2016,8.54765557860074,,,
Regression-based Measures | Panel/Longitudinal Surveys | Measurement and Methodological Advances,2019,10.441166378812131,,,
Regression-based Measures | Panel/Longitudinal Surveys | Measurement and Methodological Advances,2020,13.441166378812131,,,
Regression-based Measures | Panel/Longitudinal Surveys | Measurement and Methodological Advances,2021,11.867862683428632,,,
Regression-based Measures | Panel/Longitudinal Surveys | Measurement and Methodological Advances,2022,13.331574544179846,,,
Regression-based Measures | Panel/Longitudinal Surveys | Measurement and Methodological Advances,2023,16.331574544179844,,,
"Regression-based Measures | Panel/Longitudinal Surveys | Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",2006,3.0,,,
"Regression-based Measures | Panel/Longitudinal Surveys | Policy, Institutional, and Geographic Impacts",2010,3.0,,,
"Regression-based Measures | Panel/Longitudinal Surveys | Policy, Institutional, and Geographic Impacts",2014,4.723047532495553,,,
"Regression-based Measures | Panel/Longitudinal Surveys | Policy, Institutional, and Geographic Impacts",2016,7.723047532495553,,,
"Regression-based Measures | Panel/Longitudinal Surveys | Policy, Institutional, and Geographic Impacts",2019,10.723047532495553,,,
"Regression-based Measures | Panel/Longitudinal Surveys | Policy, Institutional, and Geographic Impacts",2021,11.126550394240978,,,
Regression-based Measures | Pseudo-Panel/Household Budget Survey | Intergenerational Wealth Mobility and Inheritance,2014,3.0,,,
Transition Matrix / Probability Measures | Administrative/Registry Data | Empirical Estimates and Determinants,2023,3.0,Transition Matrix / Probability Measures,Administrative/Registry Data,Empirical Estimates and Determinants
Transition Matrix / Probability Measures | Administrative/Registry Data | Intergenerational Wealth Mobility and Inheritance,1998,3.0,Transition Matrix / Probability Measures,Administrative/Registry Data,Intergenerational Wealth Mobility and Inheritance
Transition Matrix / Probability Measures | Administrative/Registry Data | Intergenerational Wealth Mobility and Inheritance,2013,3.375,Transition Matrix / Probability Measures,Administrative/Registry Data,Intergenerational Wealth Mobility and Inheritance
"Transition Matrix / Probability Measures | Linked Administrative Data | Demographic Differences in Mobility (Race, Gender, etc.)",2014,3.0,Transition Matrix / Probability Measures,Linked Administrative Data,"Demographic Differences in Mobility (Race, Gender, etc.)"
Transition Matrix / Probability Measures | Linked Administrative Data | Empirical Estimates and Determinants,2013,3.0,Transition Matrix / Probability Measures,Linked Administrative Data,Empirical Estimates and Determinants
Transition Matrix / Probability Measures | Linked Administrative Data | Intergenerational Wealth Mobility and Inheritance,2011,3.0,Transition Matrix / Probability Measures,Linked Administrative Data,Intergenerational Wealth Mobility and Inheritance
"Transition Matrix / Probability Measures | National Survey Data | Demographic Differences in Mobility (Race, Gender, etc.)",2013,3.0,Transition Matrix / Probability Measures,National Survey Data,"Demographic Differences in Mobility (Race, Gender, etc.)"
Transition Matrix / Probability Measures | National Survey Data | Empirical Estimates and Determinants,2006,3.0,Transition Matrix / Probability Measures,National Survey Data,Empirical Estimates and Determinants
Transition Matrix / Probability Measures | National Survey Data | Intergenerational Wealth Mobility and Inheritance,2001,3.0,Transition Matrix / Probability Measures,National Survey Data,Intergenerational Wealth Mobility and Inheritance
Transition Matrix / Probability Measures | National Survey Data | Intergenerational Wealth Mobility and Inheritance,2008,4.136787424882799,Transition Matrix / Probability Measures,National Survey Data,Intergenerational Wealth Mobility and Inheritance
Transition Matrix / Probability Measures | National Survey Data | Intergenerational Wealth Mobility and Inheritance,2010,6.135098616013374,Transition Matrix / Probability Measures,National Survey Data,Intergenerational Wealth Mobility and Inheritance
Transition Matrix / Probability Measures | National Survey Data | Intergenerational Wealth Mobility and Inheritance,2013,7.04765557860074,Transition Matrix / Probability Measures,National Survey Data,Intergenerational Wealth Mobility and Inheritance
"Transition Matrix / Probability Measures | No dataset | Demographic Differences in Mobility (Race, Gender, etc.)",2006,3.0,Transition Matrix / Probability Measures,No dataset,"Demographic Differences in Mobility (Race, Gender, etc.)"
Transition Matrix / Probability Measures | No dataset | Empirical Estimates and Determinants,2005,3.0,Transition Matrix / Probability Measures,No dataset,Empirical Estimates and Determinants
Transition Matrix / Probability Measures | No dataset | Intergenerational Wealth Mobility and Inheritance,1995,3.0,Transition Matrix / Probability Measures,No dataset,Intergenerational Wealth Mobility and Inheritance
Transition Matrix / Probability Measures | No dataset | Intergenerational Wealth Mobility and Inheritance,2016,3.1632282306180235,Transition Matrix / Probability Measures,No dataset,Intergenerational Wealth Mobility and Inheritance
Transition Matrix / Probability Measures | No dataset | Measurement and Methodological Advances,2018,3.0,Transition Matrix / Probability Measures,No dataset,Measurement and Methodological Advances
Transition Matrix / Probability Measures | No dataset | Theoretical and Structural Models,2012,3.0,Transition Matrix / Probability Measures,No dataset,Theoretical and Structural Models
Transition Matrix / Probability Measures | Opportunity Atlas | Empirical Estimates and Determinants,2024,3.0,Transition Matrix / Probability Measures,Opportunity Atlas,Empirical Estimates and Determinants
"Transition Matrix / Probability Measures | Panel/Longitudinal Surveys | Demographic Differences in Mobility (Race, Gender, etc.)",2005,3.0,Transition Matrix / Probability Measures,Panel/Longitudinal Surveys,"Demographic Differences in Mobility (Race, Gender, etc.)"
"Transition Matrix / Probability Measures | Panel/Longitudinal Surveys | Demographic Differences in Mobility (Race, Gender, etc.)",2011,4.305825844944186,Transition Matrix / Probability Measures,Panel/Longitudinal Surveys,"Demographic Differences in Mobility (Race, Gender, etc.)"
"Transition Matrix / Probability Measures | Panel/Longitudinal Surveys | Demographic Differences in Mobility (Race, Gender, etc.)",2021,4.076456461236047,Transition Matrix / Probability Measures,Panel/Longitudinal Surveys,"Demographic Differences in Mobility (Race, Gender, etc.)"
Transition Matrix / Probability Measures | Panel/Longitudinal Surveys | Empirical Estimates and Determinants,2003,3.0,Transition Matrix / Probability Measures,Panel/Longitudinal Surveys,Empirical Estimates and Determinants
Transition Matrix / Probability Measures | Panel/Longitudinal Surveys | Intergenerational Wealth Mobility and Inheritance,1996,3.0,Transition Matrix / Probability Measures,Panel/Longitudinal Surveys,Intergenerational Wealth Mobility and Inheritance
Transition Matrix / Probability Measures | Panel/Longitudinal Surveys | Intergenerational Wealth Mobility and Inheritance,2007,3.652912922472093,Transition Matrix / Probability Measures,Panel/Longitudinal Surveys,Intergenerational Wealth Mobility and Inheritance
Transition Matrix / Probability Measures | Panel/Longitudinal Surveys | Intergenerational Wealth Mobility and Inheritance,2014,4.384195158152716,Transition Matrix / Probability Measures,Panel/Longitudinal Surveys,Intergenerational Wealth Mobility and Inheritance
Transition Matrix / Probability Measures | Panel/Longitudinal Surveys | Intergenerational Wealth Mobility and Inheritance,2016,6.322598616013373,Transition Matrix / Probability Measures,Panel/Longitudinal Surveys,Intergenerational Wealth Mobility and Inheritance
Transition Matrix / Probability Measures | Panel/Longitudinal Surveys | Intergenerational Wealth Mobility and Inheritance,2019,7.171359445235699,Transition Matrix / Probability Measures,Panel/Longitudinal Surveys,Intergenerational Wealth Mobility and Inheritance
Transition Matrix / Probability Measures | Panel/Longitudinal Surveys | Measurement and Methodological Advances,2009,3.0,Transition Matrix / Probability Measures,Panel/Longitudinal Surveys,Measurement and Methodological Advances
Transition Matrix / Probability Measures | University/Institution Data | Empirical Estimates and Determinants,2019,3.0,Transition Matrix / Probability Measures,University/Institution Data,Empirical Estimates and Determinants
